Date,Close,Volume,Name
2010-10-01,9.29,3603800.0,Aviation-American
2010-10-04,9.12,3856800.0,Aviation-American
2010-10-05,9.23,3896600.0,Aviation-American
2010-10-06,9.23,3230200.0,Aviation-American
2010-10-07,9.24,3877700.0,Aviation-American
2010-10-08,9.07,4455700.0,Aviation-American
2010-10-11,9.0,2231500.0,Aviation-American
2010-10-12,9.55,10884900.0,Aviation-American
2010-10-13,9.8,7754800.0,Aviation-American
2010-10-14,9.78,3760500.0,Aviation-American
2010-10-15,9.7,3410500.0,Aviation-American
2010-10-18,10.12,6040200.0,Aviation-American
2010-10-19,10.09,8197200.0,Aviation-American
2010-10-20,10.84,19890000.0,Aviation-American
2010-10-21,10.75,9956400.0,Aviation-American
2010-10-22,10.81,3485500.0,Aviation-American
2010-10-25,11.58,12724300.0,Aviation-American
2010-10-26,11.73,9933800.0,Aviation-American
2010-10-27,12.0,6854000.0,Aviation-American
2010-10-28,11.88,6836500.0,Aviation-American
2010-10-29,11.79,5499700.0,Aviation-American
2010-11-01,11.66,4875500.0,Aviation-American
2010-11-02,11.92,3393600.0,Aviation-American
2010-11-03,12.07,5059800.0,Aviation-American
2010-11-04,11.56,10437800.0,Aviation-American
2010-11-05,11.57,5840100.0,Aviation-American
2010-11-08,11.23,8714900.0,Aviation-American
2010-11-09,10.99,5591600.0,Aviation-American
2010-11-10,10.78,5518700.0,Aviation-American
2010-11-11,10.82,3979000.0,Aviation-American
2010-11-12,10.63,3097700.0,Aviation-American
2010-11-15,10.71,3616900.0,Aviation-American
2010-11-16,10.69,6429600.0,Aviation-American
2010-11-17,10.7,3424300.0,Aviation-American
2010-11-18,11.02,5275000.0,Aviation-American
2010-11-19,11.08,3227000.0,Aviation-American
2010-11-22,11.18,3508200.0,Aviation-American
2010-11-23,11.1,3572000.0,Aviation-American
2010-11-24,11.74,7712500.0,Aviation-American
2010-11-26,11.7,2492400.0,Aviation-American
2010-11-29,11.28,6213900.0,Aviation-American
2010-11-30,11.16,3925200.0,Aviation-American
2010-12-01,11.26,3960400.0,Aviation-American
2010-12-02,11.11,4369900.0,Aviation-American
2010-12-03,11.04,4250600.0,Aviation-American
2010-12-06,11.15,4366200.0,Aviation-American
2010-12-07,10.55,8465700.0,Aviation-American
2010-12-08,10.97,6913200.0,Aviation-American
2010-12-09,10.91,4127800.0,Aviation-American
2010-12-10,10.93,2984700.0,Aviation-American
2010-12-13,10.51,5254100.0,Aviation-American
2010-12-14,10.53,4353300.0,Aviation-American
2010-12-15,10.14,5150200.0,Aviation-American
2010-12-16,10.13,3652300.0,Aviation-American
2010-12-17,10.06,4170500.0,Aviation-American
2010-12-20,10.18,3808600.0,Aviation-American
2010-12-21,10.52,4933600.0,Aviation-American
2010-12-22,10.32,3112800.0,Aviation-American
2010-12-23,9.91,5246300.0,Aviation-American
2010-12-27,9.87,2038000.0,Aviation-American
2010-12-28,9.89,3389700.0,Aviation-American
2010-12-29,10.14,2678200.0,Aviation-American
2010-12-30,10.13,1899200.0,Aviation-American
2010-12-31,10.01,2191900.0,Aviation-American
2011-01-03,10.65,7465800.0,Aviation-American
2011-01-04,10.62,5374700.0,Aviation-American
2011-01-05,11.1,8735800.0,Aviation-American
2011-01-06,11.24,4464100.0,Aviation-American
2011-01-07,11.4,4367100.0,Aviation-American
2011-01-10,11.47,4006900.0,Aviation-American
2011-01-11,10.97,6168400.0,Aviation-American
2011-01-12,10.88,5974600.0,Aviation-American
2011-01-13,10.89,2383500.0,Aviation-American
2011-01-14,10.79,2627800.0,Aviation-American
2011-01-18,10.12,6080000.0,Aviation-American
2011-01-19,10.03,7070600.0,Aviation-American
2011-01-20,10.25,7261600.0,Aviation-American
2011-01-21,9.83,6149200.0,Aviation-American
2011-01-24,10.1,8032000.0,Aviation-American
2011-01-25,10.13,4904300.0,Aviation-American
